date,time,headline
Jul-02-20,01:42PM  ,Nifty FAANG and Other 'One Decision' Investment Strategies
Jul-02-20,01:31PM  ,Dow Jones Rises on Jobs Report; Apple and McDonald's Hit the Brakes; Exxon Discloses Big Earnings Hit; Boeing's 737 Max Certification Flights Complete
Jul-02-20,01:10PM  ,"CEOs of Facebook, Amazon, Apple and Google to Testify at House Antitrust Hearing"
Jul-02-20,12:55PM  ,State Dept warns top U.S. firms over supply chain risks linked to China's Xinjiang
Jul-02-20,11:39AM  ,Apple Re-Closing 77 Stores Due to the Coronavirus
Jul-02-20,10:20AM  ,Roku (ROKU) Expands Health & Fitness Options With Peloton App
Jul-02-20,10:06AM  ,Why Apple's Shares Rose 14.7% in June
Jul-02-20,10:05AM  ,Tech leaders agree to testify on Capitol Hill
Jul-02-20,09:32AM  ,What could save the stock market in July? More government borrowing and Federal Reserve money printing
Jul-02-20,09:20AM  ,Do You Really Want Google to Have Your Personal Fitness Data?
Jul-02-20,08:30AM  ,These 5 Dividend Funds Offer the Flexibility to Weather the Pandemic
Jul-02-20,08:22AM  ,"US daily coronavirus cases jump by more than 50,000 for first time"
Jul-02-20,08:08AM  ,Dow Jones Futures Signal More Gains For Coronavirus Stock Market Rally; Tesla Surges Again On Strong Deliveries
Jul-02-20,07:30AM  ,"McDonald's, Apple Further Delay Reopening Due To Coronavirus Cases Spike"
Jul-02-20,07:15AM  ,"Got $2,000? Buy These 2 Best-in-Breed Stocks I'm Never Selling"
Jul-02-20,07:00AM  ,Could the iPhone 12 Propel Apples Stock Past $500?
Jul-02-20,05:13AM  ,Apple Blocks Developers From Updating Gaming Apps In China Without Government Approval: Report
Jul-02-20,05:00AM  ,WeWork Founder Warned Staff in 2016: You Do Not Get a Chance Like This Again
Jul-02-20,04:22AM  ,"Apple supplier Foxconn, others hit as India holds up imports from China-sources"
Jul-02-20,04:00AM  ,Why Europe Finds It Hard to Break Chinese Supply Chains
Jul-02-20,04:00AM  ,"Google, Facebook Would Face FTC Over Policies in Democratic Bill"
Jul-02-20,01:15AM  ,"Traders thought Apple had 'the holy grail' of oil data, but the quest continues"
Jul-02-20,12:45AM  ,"Facebook, Amazon, Apple, Google CEOs Agree To Jointly Testify Before Congress In Antitrust Case"
Jul-02-20,12:40AM  ,PRESS DIGEST- Wall Street Journal - July 2
Jul-01-20,11:00PM  ,"U.S., EU advocacy groups warn against Google's purchase of Fitbit"
Jul-01-20,10:36PM  ,"Apple to re-close more stores in seven U.S. states, bringing total to 77"
Jul-01-20,10:17PM  ,U.K. regulators take aim at Apple's search engine deal with Google
Jul-01-20,07:31PM  ,"Apple, Facebook, Amazon and Google CEOs to Testify to Congress: Report"
Jul-01-20,06:30PM  ,"CEOs of Alphabet, Amazon, Apple and Facebook to testify before Congress in late July: report"
Jul-01-20,06:12PM  ,U.S. tech chief executives expected to testify before House panel in late July
Jul-01-20,06:04PM  ,U.S. tech chief executives expected to testify before House panel in late July - sources
Jul-01-20,05:52PM  ,"Apple Re-Closes 30 More U.S. Stores, Including 15 In Southern California"
Jul-01-20,04:51PM  ,"Nasdaq sets record close, Dow ends lower to kick off July after Fed vows to guide markets on rates path"
